name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
AURORA CANNABIS INC,05156XAG3,3805,4464000,,ACB
GUARDANT HEALTH INC,40131MAB5,3780,3719000,,
PEGASYSTEMS INC,705573AB9,3763,3546000,,PEGA
BAOZUN INC,06684LAB9,3754,4059000,,BZUN
AVALON ACQUISITION INC,05338E101,3705,375000,,
CYBERARK SOFTWARE LTD,23248VAB1,3616,2859000,,
NABORS INDUSTRIES LTD,62957HAB1,3608,4101000,,NBR
PARATEK PHARMACEUTICALS INC,699374AB0,3590,3891000,,
RADIUS HEALTH INC,750469AA6,3551,3652000,,
SPREE ACQUISITION CORP 1 LTD,G83745110,3514,350000,,
ALPINE ACQUISITION CORP,02083L109,3501,350000,,
INTEGRA LIFESCIENCES HOLDINGS CORP,457985AM1,3481,3200000,,IART
DIRECT SELLING ACQUISITION CORP,25460L103,3475,350000,,
INVACARE CORP,461203AJ0,3475,3893000,,
SANABY HEALTH ACQUISITION CORP I,79956P102,3473,350000,,
OKTA INC,679295AF2,3470,2904000,,
COUPA SOFTWARE INC,22266LAF3,3446,3628000,,
RIGEL RESOURCE ACQUISITION CORP,G7573M106,3430,350000,,
GLOBALINK INVESTMENT INC,37892F109,3426,350000,,
ACCRETION ACQUISITION CORP,00438Y107,3416,350000,,
INTERDIGITAL INC,45867GAB7,3311,3004000,,
1LIFE HEALTHCARE INC,68269GAB3,3301,3653000,,
LENDINGTREE INC,52603BAA5,3229,3252000,,
GREENLIGHT CAPITAL RE LTD,395366AB3,3227,3373000,,
LIBERTY RESOURCES ACQUISITION CORP,53118A105,3212,325000,,
JOYY INC,98426TAD8,3183,3491000,,JOYY
HUAZHU GROUP LTD,16949NAC3,3071,3000000,,
BEARD ENERGY TRANSITION ACQUISITION CORP,07402Q200,3048,300000,,
HELIX ENERGY SOLUTIONS GROUP INC,42330PAJ6,3040,3159000,,HLX
CHESAPEAKE ENERGY CORP,165167164,3029,75810,CALL,
APX ACQUISITION CORP I,G0440J117,3021,300000,,
MOUNTAIN & CO I ACQUISITION CORP,G6301J104,3000,300000,,
MAXPRO CAPITAL ACQUISITION CORP,57778T106,2976,300000,,
CENAQ ENERGY CORP,15130M102,2974,300000,,
GOGREEN INVESTMENTS CORP,G9461B101,2973,300000,,
ONYX ACQUISITION CO I,G6755Q109,2973,300000,,
WINVEST ACQUISITION CORP,97655B109,2949,300000,,WINVW
FIRST LIGHT ACQUISITION GROUP INC,320703101,2946,300000,,
SSR MINING INC,784730AB9,2920,2342000,,SSRGF
FORTUNE RISE ACQUISITION CORP,34969G201,2776,275000,,
MINORITY EQUALITY OPPORTUNITIES ACQUISITION INC,60436Q100,2743,275000,,
NUVASIVE INC,670704AJ4,2712,2815000,,
BLOCKCHAIN MOON ACQUISITION CORP,09370F109,2678,275000,,
RINGCENTRAL INC,76680RAH0,2666,2995000,,
SOAR TECHNOLOGY ACQUISITION CORP,G82472112,2527,250000,,
MANDIANT INC,31816QAF8,2526,2418000,,
JUNIPER II CORP,48203N103,2512,250000,,
INFINT ACQUISITION CORP,G47862118,2507,250000,,
BLUE OCEAN ACQUISITION CORP,G1330L113,2506,250000,,
NRG ENERGY INC,629377CG5,2502,2101000,,
LAVA MEDTECH ACQUISITION CORP,519345102,2500,250000,,
PONO CAPITAL CORP,732450101,2492,250000,,
GLADSTONE ACQUISITION CORP,37653T108,2485,250000,,
MERCATO PARTNERS ACQUISITION CORP,58759A108,2482,250000,,
OXBRIDGE ACQUISITION CORP,G6855L109,2472,250000,,
7 ACQUISITION CORP,G80694105,2465,250000,,
LIONHEART III CORP,536262108,2462,250000,,
MACONDRAY CAPITAL ACQUISITION CORP I,G5853A107,2462,250000,,
ARMADA ACQUISITION CORP I,04208V103,2447,250000,,
FUTURE HEALTH ESG CORP,36118W102,2445,250000,,
SIERRA LAKE ACQUISITION CORP,826332108,2445,250000,,
SPRINGWATER SPECIAL SITUATIONS CORP,85205U107,2441,250000,,
HORIZON GLOBAL CORP,44052WAA2,2382,2459000,,
HERBALIFE NUTRITION LTD,42703MAD5,2307,2297000,,
CHARDAN NEXTECH ACQUISITION 2 CORP,159561109,2241,225000,,
PACIFICO ACQUISITION CORP,69512X103,2225,225000,,
FINNOVATE ACQUISITION CORP,G3R34K103,2173,220000,,
VEON LTD,91822M106,2167,1267678,,VEON
FAT PROJECTS ACQUISITION CORP,G3400W102,2049,210000,,
EVEREST CONSOLIDATOR ACQUISITION CORP,29978K201,2033,200000,,
NABORS ENERGY TRANSITION CORP,629567207,2030,200000,,
VMG CONSUMER ACQUISITION CORP,91842V201,2029,200000,,
GENESIS GROWTH TECH ACQUISITION CORP,G3R23D110,2024,201400,,
BLOCKCHAIN COINVESTORS ACQUISITION CORP I,G11765123,2022,200000,,
CRYPTO 1 ACQUISITION CORP,G3168A128,2020,200000,,
AGRICO ACQUISITION CORP,G41089106,2009,200000,,
BULLPEN PARLAY ACQUISITION CO,G1792A126,2001,200000,,
CLOVER LEAF CAPITAL CORP,18915E105,1998,200000,,
PURE STORAGE INC,74624MAB8,1983,1483000,,
PHOENIX BIOTECH ACQUISITION CORP,71902K105,1982,200000,,
THRIVE ACQUISITION CORP,G7158C101,1981,200000,,
ROTH CH ACQUISITION IV CO,77867P104,1980,200000,,
ACHARI VENTURES HOLDINGS CORP I,00444X101,1974,200000,,
PERSHING SQUARE TONTINE HOLDINGS LTD,71531R109,1972,100000,,
SOFTWARE ACQUISITION GROUP INC III,83407J103,1972,200000,,
BLACK MOUNTAIN ACQUISITION CORP,09216A108,1966,200000,,
GLOBAL TECHNOLOGY ACQUISITION CORP I,G3934N107,1964,200000,,
MERCURY ECOMMERCE ACQUISITION CORP,589381102,1960,200000,,
CHW ACQUISITION CORP,G2254A109,1953,200000,,
ARISZ ACQUISITION CORP,040450108,1952,200000,,
BANNER ACQUISITION CORP,06654K101,1952,200000,,
PARABELLUM ACQUISITION CORP,69901P109,1950,200000,,
BELONG ACQUISITION CORP,08069M102,1944,200000,,
IX ACQUISITION CORP,G5000D103,1942,200000,,IXQWF
BENEFITFOCUS INC,08180DAB2,1938,2009000,,
COLISEUM ACQUISITION CORP,G2263T123,1934,200000,,
ALPHA HEALTHCARE ACQUISITION CORP III,02073F104,1933,200000,,
ILLUMINA INC,452327AK5,1906,1664000,,
UBER TECHNOLOGIES INC,90353TAJ9,1844,1870000,,
GRANITE POINT MORTGAGE TRUST INC,38741LAC1,1834,1791000,,GPMT-PA
WIX.COM LTD,92940WAD1,1795,2000000,,WIX
SHOULDERUP TECHNOLOGY ACQUISITION CORP,82537G203,1767,175000,,
MICROCHIP TECHNOLOGY INC,595017AU8,1709,1376000,,MCHPP
LOMA NEGRA CIA INDUSTRIAL ARGENTINA SA,54150E104,1673,250924,,
REDWOOD TRUST INC,758075AD7,1659,1637000,,RWTS
TEEKAY CORP,87900YAE3,1606,1602000,,TK
KAIROUS ACQUISITION CORP LTD,G52131102,1526,150000,,
NORTHERN LIGHTS ACQUISITION CORP,66538L105,1510,150000,,
DTRT HEALTH ACQUISITION CORP,23344T103,1494,150000,,
GLOBAL CONSUMER ACQUISITION CORP,37892B108,1486,150000,,
PERCEPTION CAPITAL CORP II,G7007D102,1486,150000,,
VISION SENSING ACQUISITION CORP,92838J103,1486,150000,,
TASTEMAKER ACQUISITION CORP,876545104,1483,150000,,
MONTEREY BIO ACQUISITION CORP,61240F108,1481,150000,,
WILLIAMS ROWLAND ACQUISITION CORP,96951B102,1480,150000,,
ENDURANCE ACQUISITION CORP,G3041W107,1467,150000,,
INSIGHT ACQUISITION CORP/DE,45784L100,1464,150000,,
THUNDER BRIDGE CAPITAL PARTNERS IV INC,88605L107,1464,150000,,
AFTERNEXT HEALTHTECH ACQUISITION CORP,G01109100,1462,150000,,
FINTECH EVOLUTION ACQUISITION GROUP,G3R19A104,1458,150000,,
CASCADIA ACQUISITION CORP,14739D100,1457,150000,,
