week,signal_date,exec_date,n_ranked,n_long,n_short,mean_long,mean_short,factor_return
2021-01-11/2021-01-17,2021-01-15,2021-01-19,481,49,49,0.016745393752682296,-0.03507925392217738,0.05182464767485968
2021-01-18/2021-01-24,2021-01-22,2021-01-25,481,49,49,-0.030099402116747512,-0.026782182547981176,-0.003317219568766336
2021-01-25/2021-01-31,2021-01-29,2021-02-01,481,49,49,0.032694872699011945,0.08112841139550209,-0.04843353869649014
2021-02-01/2021-02-07,2021-02-05,2021-02-08,481,49,49,0.018152898553662748,0.045783261241722405,-0.027630362688059656
2021-02-08/2021-02-14,2021-02-12,2021-02-16,481,49,49,-0.01777368757074561,-0.0004257616264006271,-0.017347925944344984
2021-02-15/2021-02-21,2021-02-19,2021-02-22,481,49,49,-0.005538147876866366,0.02299993601359658,-0.028538083890462945
2021-02-22/2021-02-28,2021-02-26,2021-03-01,481,49,49,-0.01495813908828206,0.05153415844758901,-0.06649229753587108
2021-03-01/2021-03-07,2021-03-05,2021-03-08,481,49,49,0.0425655012996694,0.03158684206206118,0.01097865923760822
2021-03-08/2021-03-14,2021-03-12,2021-03-15,481,49,49,0.008541078072062745,-0.026319070419351442,0.03486014849141419
2021-03-15/2021-03-21,2021-03-19,2021-03-22,481,49,49,0.008852715691303376,0.008142615197961776,0.0007101004933416002
2021-03-22/2021-03-28,2021-03-26,2021-03-29,481,49,49,0.028657072736230305,0.01674415281372424,0.011912919922506066
2021-03-29/2021-04-04,2021-04-01,2021-04-05,481,49,49,0.011060353207908085,0.008440030047448217,0.0026203231604598684
2021-04-05/2021-04-11,2021-04-09,2021-04-12,481,49,49,0.00799883901157101,0.026245189376394137,-0.018246350364823125
2021-04-12/2021-04-18,2021-04-16,2021-04-19,481,49,49,0.006917062896625374,-0.0007227035489395925,0.007639766445564966
2021-04-19/2021-04-25,2021-04-23,2021-04-26,481,49,49,0.000295982474614983,0.004311446430191779,-0.004015463955576796
2021-04-26/2021-05-02,2021-04-30,2021-05-03,481,49,49,-0.00833314785221798,0.021775368686876788,-0.030108516539094767
2021-05-03/2021-05-09,2021-05-07,2021-05-10,481,49,49,-0.024211851421227892,-0.01460007373462191,-0.009611777686605982
2021-05-10/2021-05-16,2021-05-14,2021-05-17,481,49,49,0.011228029361461576,0.008012070952939217,0.0032159584085223597
